Vertice,Pai,Nivel
1419,317360,9
1420,334874,11
1421,-1,-1
1422,66430,12
1423,-1,-1
1424,-1,-1
1425,-1,-1
1426,-1,-1
1427,262219,9
1428,-1,-1
1429,-1,-1
1430,-1,-1
1431,64446,12
1432,321389,13
1433,293534,12
1434,-1,-1
1435,-1,-1
1436,299950,10
1437,-1,-1
1438,165950,14
1439,-1,-1
1440,-1,-1
1441,138166,12
1442,-1,-1
1443,-1,-1
1444,304567,11
1445,-1,-1
1446,-1,-1
1447,-1,-1
1448,-1,-1
1449,228334,13
1450,-1,-1
1451,255860,13
1452,230488,8
1453,-1,-1
1454,-1,-1
1455,-1,-1
1456,-1,-1
1457,344928,14
1458,183178,12
1459,36994,11
1460,-1,-1
1461,-1,-1
1462,101199,13
1463,156630,13
1464,-1,-1
1465,-1,-1
1466,96134,13
1467,-1,-1
1468,-1,-1
1469,121792,13
1470,-1,-1
1471,14792,12
1472,-1,-1
1473,-1,-1
1474,-1,-1
1475,-1,-1
1476,112170,11
1477,-1,-1
1478,-1,-1
1479,-1,-1
1480,314596,12
1481,-1,-1
1482,-1,-1
1483,-1,-1
1484,366704,8
1485,260764,12
1486,-1,-1
1487,-1,-1
1488,-1,-1
1489,309080,13
1490,-1,-1
1491,-1,-1
1492,-1,-1
1493,-1,-1
1494,-1,-1
1495,-1,-1
1496,120793,9
1497,154333,11
1498,-1,-1
1499,-1,-1
1500,95631,12
1501,152580,11
1502,-1,-1
1503,17340,13
1504,-1,-1
1505,242174,14
1506,-1,-1
1507,-1,-1
1508,-1,-1
1509,-1,-1
1510,-1,-1
1511,350912,11
1512,-1,-1
1513,-1,-1
1514,-1,-1
1515,318830,14
1516,-1,-1
1517,-1,-1
1518,-1,-1
1519,-1,-1
1520,102924,12
1521,-1,-1
1522,250582,11
1523,-1,-1
1524,-1,-1
1525,-1,-1
1526,118,13
1527,128836,12
1528,-1,-1
1529,313167,12
1530,-1,-1
1531,-1,-1
1532,6212,11
1533,-1,-1
1534,-1,-1
1535,-1,-1
1536,197747,14
1537,-1,-1
1538,-1,-1
1539,116637,10
1540,211623,12
