Vertice,Pai,Nivel
1335,234954,39859
1336,271553,10935
1337,90581,35648
1338,203569,6717
1339,-1,-1
1340,-1,-1
1341,-1,-1
1342,-1,-1
1343,-1,-1
1344,-1,-1
1345,143313,40697
1346,216681,30913
1347,216505,39295
1348,153438,33751
1349,288173,6793
1350,-1,-1
1351,-1,-1
1352,250893,39939
1353,78417,19469
1354,287737,762
1355,-1,-1
1356,115556,15721
1357,-1,-1
1358,-1,-1
1359,215935,25974
1360,173914,14728
1361,-1,-1
1362,-1,-1
1363,-1,-1
1364,-1,-1
1365,276382,18518
1366,-1,-1
1367,-1,-1
1368,-1,-1
1369,303771,2907
1370,301961,5150
1371,257475,40283
1372,153896,40264
1373,-1,-1
1374,-1,-1
1375,-1,-1
1376,116147,16563
1377,-1,-1
1378,-1,-1
1379,-1,-1
1380,-1,-1
1381,-1,-1
1382,-1,-1
1383,-1,-1
1384,-1,-1
1385,-1,-1
1386,-1,-1
1387,-1,-1
1388,-1,-1
1389,25203,40684
1390,-1,-1
1391,-1,-1
1392,-1,-1
1393,-1,-1
1394,-1,-1
1395,341024,37843
1396,-1,-1
1397,-1,-1
1398,33369,946
1399,-1,-1
1400,53527,4841
1401,1371,40284
1402,-1,-1
1403,60510,7883
1404,157869,36320
1405,-1,-1
1406,-1,-1
1407,79088,36260
1408,-1,-1
1409,-1,-1
1410,-1,-1
1411,-1,-1
1412,-1,-1
1413,-1,-1
1414,365285,27875
1415,-1,-1
1416,-1,-1
1417,153090,39992
1418,-1,-1
1419,317360,20285
1420,219102,7140
1421,-1,-1
1422,222467,8353
1423,-1,-1
1424,-1,-1
1425,-1,-1
1426,-1,-1
1427,262219,40556
1428,-1,-1
1429,-1,-1
1430,-1,-1
1431,275656,4470
1432,258711,7487
1433,333750,33312
1434,-1,-1
1435,-1,-1
1436,69066,16491
1437,-1,-1
1438,165950,1367
1439,-1,-1
1440,-1,-1
1441,292412,5387
1442,-1,-1
1443,-1,-1
1444,243227,15857
1445,-1,-1
1446,-1,-1
1447,-1,-1
1448,-1,-1
1449,228334,29713
1450,-1,-1
1451,260257,28877
1452,267893,5691
1453,-1,-1
1454,-1,-1
1455,-1,-1
1456,-1,-1
1457,344928,14792
1458,82461,2577
1459,182849,34999
1460,-1,-1
1461,-1,-1
1462,101199,7413
1463,111732,6420
1464,-1,-1
1465,-1,-1
1466,106365,28734
1467,-1,-1
1468,-1,-1
1469,3762,32923
1470,-1,-1
1471,14792,40013
1472,-1,-1
1473,-1,-1
1474,-1,-1
1475,-1,-1
1476,114053,20015
1477,-1,-1
1478,-1,-1
1479,-1,-1
1480,222785,38055
1481,-1,-1
1482,-1,-1
1483,-1,-1
1484,204859,28610
1485,300993,2329
1486,-1,-1
1487,-1,-1
1488,-1,-1
1489,293982,15360
1490,-1,-1
1491,-1,-1
1492,-1,-1
1493,-1,-1
1494,-1,-1
1495,-1,-1
1496,249145,6815
1497,161481,25829
1498,-1,-1
1499,-1,-1
1500,91933,17869
1501,12127,7231
1502,-1,-1
1503,170719,40489
1504,-1,-1
1505,361542,40598
1506,-1,-1
1507,-1,-1
1508,-1,-1
1509,-1,-1
1510,-1,-1
1511,350912,13995
1512,-1,-1
1513,-1,-1
1514,-1,-1
1515,326366,32420
1516,-1,-1
1517,-1,-1
1518,-1,-1
1519,-1,-1
1520,97895,16591
1521,-1,-1
1522,37150,14732
1523,-1,-1
1524,-1,-1
1525,-1,-1
1526,243619,40496
1527,59378,11269
1528,-1,-1
1529,332189,18091
1530,-1,-1
1531,-1,-1
1532,325124,23770
1533,-1,-1
1534,-1,-1
1535,-1,-1
1536,197747,20318
1537,-1,-1
1538,-1,-1
1539,116637,39317
1540,289764,26466
1541,-1,-1
1542,-1,-1
1543,-1,-1
1544,120343,33730
1545,65791,7725
1546,95325,40659
1547,-1,-1
1548,-1,-1
1549,-1,-1
1550,-1,-1
1551,342602,7224
1552,-1,-1
1553,-1,-1
1554,-1,-1
1555,-1,-1
1556,156857,23996
1557,-1,-1
1558,-1,-1
1559,-1,-1
1560,-1,-1
1561,-1,-1
1562,-1,-1
1563,-1,-1
1564,-1,-1
1565,-1,-1
1566,-1,-1
1567,83620,39504
1568,237702,4468
1569,-1,-1
1570,-1,-1
1571,-1,-1
1572,-1,-1
1573,-1,-1
1574,206458,39363
1575,-1,-1
1576,-1,-1
1577,190494,36848
1578,300547,31809
1579,-1,-1
1580,-1,-1
1581,-1,-1
1582,-1,-1
1583,-1,-1
1584,6869,5874
1585,334724,14850
1586,-1,-1
1587,-1,-1
1588,188606,40556
1589,-1,-1
1590,-1,-1
1591,-1,-1
1592,-1,-1
1593,-1,-1
1594,-1,-1
1595,-1,-1
1596,-1,-1
1597,-1,-1
1598,114092,35351
1599,-1,-1
1600,-1,-1
1601,-1,-1
1602,-1,-1
1603,-1,-1
1604,-1,-1
1605,-1,-1
1606,-1,-1
1607,361855,34047
1608,193254,9300
1609,-1,-1
1610,-1,-1
1611,-1,-1
1612,-1,-1
1613,-1,-1
1614,-1,-1
1615,216206,40201
1616,-1,-1
1617,-1,-1
1618,106409,15839
1619,-1,-1
1620,-1,-1
1621,-1,-1
1622,-1,-1
1623,-1,-1
1624,-1,-1
1625,309872,18409
1626,358501,100
1627,-1,-1
1628,-1,-1
1629,-1,-1
1630,87588,6897
1631,41345,5687
1632,-1,-1
1633,-1,-1
1634,357688,22237
1635,151060,17585
1636,-1,-1
1637,223884,30561
1638,-1,-1
1639,-1,-1
1640,277415,4401
1641,125992,36962
1642,330821,20841
1643,-1,-1
1644,251580,14605
1645,-1,-1
1646,288838,24330
1647,-1,-1
1648,325216,22695
1649,-1,-1
1650,144620,16253
1651,21180,40262
1652,-1,-1
1653,-1,-1
1654,-1,-1
1655,-1,-1
1656,-1,-1
1657,-1,-1
1658,-1,-1
1659,18758,20319
